iter	Passed	Remaining
783	4450	1226
784	4457	1220
785	4464	1215
786	4469	1209
787	4475	1204
788	4481	1198
789	4487	1192
790	4494	1187
791	4499	1181
792	4505	1176
793	4511	1170
794	4516	1164
795	4522	1159
796	4528	1153
797	4534	1147
798	4541	1142
799	4545	1136
800	4552	1131
801	4558	1125
802	4563	1119
803	4568	1113
804	4574	1108
805	4579	1102
806	4585	1096
807	4592	1091
808	4603	1086
809	4610	1081
810	4617	1076
811	4624	1070
812	4629	1064
813	4636	1059
814	4641	1053
815	4648	1048
816	4656	1043
817	4663	1037
818	4668	1031
819	4673	1025
820	4679	1020
821	4685	1014
822	4690	1008
823	4696	1003
824	4701	997
825	4706	991
826	4712	985
827	4717	979
828	4722	974
829	4727	968
830	4733	962
831	4738	956
832	4746	951
833	4751	945
834	4756	939
835	4761	934
836	4766	928
837	4772	922
838	4777	916
839	4782	910
840	4788	905
841	4793	899
842	4799	893
843	4804	887
844	4810	882
845	4815	876
846	4821	870
847	4826	865
848	4831	859
849	4836	853
850	4841	847
851	4847	842
852	4852	836
853	4857	830
854	4862	824
855	4867	818
856	4873	813
857	4877	807
858	4882	801
859	4888	795
860	4893	789
861	4897	784
862	4903	778
863	4908	772
864	4913	766
865	4917	760
866	4922	755
867	4927	749
868	4932	743
869	4937	737
870	4942	732
871	4947	726
872	4952	720
873	4957	714
874	4961	708
875	4966	703
876	4971	697
877	4976	691
878	4981	685
879	4985	679
880	4990	674
881	4995	668
882	5000	662
883	5005	656
884	5010	651
885	5015	645
886	5020	639
887	5025	633
888	5031	628
889	5036	622
890	5042	616
891	5047	611
892	5053	605
893	5058	599
894	5064	594
895	5069	588
896	5074	582
897	5080	577
898	5085	571
899	5090	565
900	5095	559
901	5100	554
902	5105	548
903	5110	542
904	5116	537
905	5121	531
906	5126	525
907	5131	519
908	5136	514
909	5142	508
910	5147	502
911	5152	497
912	5160	491
913	5165	486
914	5171	480
915	5176	474
916	5181	469
917	5187	463
918	5192	457
919	5198	452
920	5203	446
921	5208	440
922	5214	434
923	5219	429
924	5225	423
925	5231	418
926	5236	412
927	5241	406
928	5246	400
929	5252	395
930	5257	389
931	5262	383
932	5267	378
933	5273	372
934	5278	366
935	5284	361
936	5289	355
937	5294	349
938	5300	344
939	5305	338
940	5311	333
941	5316	327
942	5322	321
943	5327	316
944	5332	310
945	5337	304
946	5342	299
947	5347	293
948	5353	287
949	5358	282
950	5363	276
951	5369	270
952	5374	265
953	5379	259
954	5384	253
955	5390	248
